"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Continent,Region name,Focal Year: EA082 House construction: shape of roof,Code: EA082 House construction: shape of roof,Description: EA082 House construction: shape of roof,Comment: EA082 House construction: shape of roof,Subcase: EA082 House construction: shape of roof,References: EA082 House construction: shape of roof,Variable: Monthly Mean Precipitation (mm),Comment: Monthly Mean Precipitation (mm)
Ethnographic Atlas,Thai,Ej9,xd731,Siamese (Ej9),15.0,100.0,15.0,100.0,thai1261,Thai,tha,Tai-Kadai,ASIA-TROPICAL,Indo-China,1940,8,"Gabled, i.e., with two slopes",,,Hanks and Hanks(1961); Benedict(1943); Phillips(1965); Bush(1964); Hanks(1963); Hauck(1958); Sharp and Hanks(1978); Insor(1963); Anuman Rajadhon(1961); Sharp et al.(1954); Janlekha(1955); ,94.63783333,
Ethnographic Atlas,Kasena,Ag13,xd248,Kasena (Ag13),11.0,-1.0,11.0,-1.0,kase1253,Kasem,xsm,Atlantic-Congo,AFRICA,West Tropical Africa,1910,7,Flat or horizontal,,,Zwernemann(1963); Tauxier(1912); Manoukian(1952b); Rattray(1932); ,74.71816667,
Ethnographic Atlas,Yagua,Se4,xd1368,Yagua (Se4),-3.0,-72.0,-3.0,-72.0,yagu1244,Yagua,yad,Peba-Yagua,SOUTHERN AMERICA,Western South America,1940,9,"Hipped or pyramidal, i.e., with four slopes",,,Fejos(1943); ,229.728,
Ethnographic Atlas,Bura,Ah35,xd326,Bura (Ah35),10.0,12.0,10.0,12.0,bura1292,Bura-Pabir,bwr,Afro-Asiatic,AFRICA,West Tropical Africa,1920,4,Conical,,,Helser(1926); Meek(1931d); ,72.78,
Ethnographic Atlas,Tsimshian,Nb7,xd1104,Tsimshian (Nb7),54.64,-130.25,55.0,-130.0,nucl1649,Nuclear Tsimshian,tsi,Tsimshian,NORTHERN AMERICA,Western Canada,1880,8,"Gabled, i.e., with two slopes",,,Garfield et al.(1951); Garfield(1939); ,199.0636667,
Ethnographic Atlas,Ch'orti',Sa3,xd1319,Chorti (Sa3),14.0,-89.0,14.0,-89.0,chor1273,Chortí,caa,Mayan,SOUTHERN AMERICA,Central America,1930,8,"Gabled, i.e., with two slopes",,,Wisdom(1940); ,157.2811667,
Ethnographic Atlas,Ticuna,Se2,xd1366,Tucuna (Se2),-3.0,-70.0,-3.0,-70.0,ticu1245,Ticuna,tca,Ticuna-Yuri,SOUTHERN AMERICA,Western South America,1940,9,"Hipped or pyramidal, i.e., with four slopes",,,Leeds(1961); Nimenuendaju(1952); ,229.8006667,
Ethnographic Atlas,Cahuilla (Desert),Nc31,xd1131,Cahuilla (Nc31),33.0,-116.0,33.0,-116.0,cahu1264,Cahuilla,chl,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1870,8,"Gabled, i.e., with two slopes",,with special reference to the Desert Cahuilla,Gifford(1922k); Strong(1929a); Hooper(1920); Gifford(1918b); Drucker(1937); ,14.66,
Ethnographic Atlas,Stó:lō,Nb27,xd1087,Stalo (Nb27),49.0,-122.0,49.0,-122.0,chil1281,Chiliwack,,Salishan,NORTHERN AMERICA,Western Canada,1880,9,"Hipped or pyramidal, i.e., with four slopes",,with special reference to the Tait,Hill-Tout(1902); Hill-Tout(1904); Duff(1952); ,162.3831667,
Ethnographic Atlas,Lamet,Ej1,xd716,Lamet (Ej1),20.0,101.0,20.0,101.0,lame1256,Lamet,lbn,Austroasiatic,ASIA-TROPICAL,Indo-China,1940,6,"Shed, i.e., with one slope",,"Lamet Tribe, Northwestern Laos",Izikowitz(1951); ,116.284,
Ethnographic Atlas,Bakhtiari,Ea8,xd607,Bakhtiari (Ea8),33.0,48.0,33.0,48.0,bakh1245,Bakhtiari,bqi,Indo-European,ASIA-TEMPERATE,Western Asia,1920,7,Flat or horizontal,,,Feilberg(1952); Wilson(1926); ,41.452,
Ethnographic Atlas,Bororo Fulani,Cb8,xd485,Bororo Fulani (Cb8),13.0,5.0,13.0,5.0,boro1274,Bororo (Atlantic Congo),,Atlantic-Congo,AFRICA,West Tropical Africa,1920,3,Beehive shaped with pointed peak,,with special reference to the Bororo Fulani of Skoto,Wilson-HAffenden(1925); St. Croix(1944); Faidherbe(1882); Stenning(1959); Forde and Scott(1946); ,53.579,
Ethnographic Atlas,Bagirmi,Ai21,xd350,Bagirmi (Ai21),11.0,17.0,11.0,17.0,bagi1246,Bagirmi,bmi,Central Sudanic,AFRICA,Northeast Tropical Africa,1880,4,Conical,,,Lebeuf(1959); Duvallee(1925); Gaden(1909); Nachtigal(1881b); ,61.9925,
